Vendor,Primary_Category,Model_Type,License_Type,Special_Flags,Skill_Level,Best_For,Model,Modality,Key Features,Duration/Resolution,Controls,Speed,Pricing,License,Update Cadence,Distinctive Edge,Pro Tips,Drawbacks,Notable Sources,thumbnail_url
Tsinghua Univ.,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",CogVideo-X,Text-to-Video,Successor to 2022's CogVideo (first Chinese text-to-video). CogVideo-X (2024) is an improved open model with better bilingual understanding and video coherence. Leverages transformer architectures and cogeneration techniques developed by Tsinghua.,Generates about 4 s of video (32 frames at ~8 FPS) at ~480p. Aimed at short social video snippets (e.g. someone doing an action with a caption).,"Text prompt input (Chinese or English). No additional controls. The model has some training on Chinese-specific content, making it culturally tuned. Provided as research code; no GUI from authors aside from example scripts.","Inference speed similar to other transformer-based video models of its size – not instant, but workable (within a minute for a clip on decent GPU). Not optimized for deployment (research code quality).","Free, open-source (released on GitHub under Apache License). No usage fees. Part of academic publication. Anyone can download weights and run or fine-tune.","Open license (Apache). Encourages research and even commercial experimentation (though model quality likely not fully production-ready without further tuning). Outputs should be used responsibly as usual, but no baked-in constraints.","Original CogVideo was mid-2022; CogVideo-X paper in mid-2024. These are research milestones, not productized. Tsinghua might not continually maintain it – it serves as a foundation for others to build on. The community might fine-tune it or incorporate techniques into other models.","Important for multilingual video generation – one of few models that understand Chinese text well. Open availability helps Chinese developers who might prefer it over English-trained models. Technically, it introduced some novel training tricks documented in the paper.",,"Quality is still behind Sora/Veo: videos are often low-res and occasionally incoherent on complex prompts. More a proof-of-concept than a competitor to closed models. Also, limited support/community compared to bigger open projects (fewer updates, less user-friendly packaging).",Tsinghua Univ.,
Various,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",VideoCrafter 2,Text-to-Video; +Extensions,"An open video generation framework (from researchers at NTU) which includes: a base text-to-video diffusion, an image-to-video refinement, and a motion LoRA system for customization. VideoCrafter 2 (2024) improved quality and introduced modulable components for community to plug in their own trained modules.",Base model generates ~4 s (16 frames @ 4 FPS) at 512p. Can be extended by running multiple modules sequentially for longer or higher-res.,"Text prompt for base gen. Optionally use an image init or depth map with the ""extension"" models to better control output. The framework allows swapping in custom Motion LoRAs – e.g. you can train a LoRA for ""skateboarding moves"" and apply it. Essentially Lego blocks for video AI.","Speed: each module is comparable to an image diffusion run per frame chunk, so base ~20 s per video on good GPU, then extension a bit more. Overall not real-time but modular (you can skip or add steps as needed to save time or improve quality). Designed to be relatively efficient and run on one GPU.","Free, fully open-source (MIT license). Models and code on GitHub. No cost except compute. It's intended as a research and dev platform for open video AI – no subscription, etc.","MIT license – do anything you want. The authors encourage both academic and commercial use. There's no usage restriction, though they include a note urging users to avoid misuse (no baked filter).","Initial release late 2023 (VideoCrafter 1). Version 2 in mid-2024 with major upgrades. Ongoing community contributions (many LoRAs and fine-tunes shared on HuggingFace). Likely future versions will appear as video models evolve, possibly adding audio or longer sequence handling.",Highly extensible – one of the first open frameworks letting users *train their own motion modules* and plug them in. This means tailored outputs (e.g. a LoRA for a specific character or action) are easier. Great for developers wanting a customizable video generator rather than a fixed model.,,"As with many open models, raw quality is a notch below the likes of Sora or Runway. To get best results, one might need to run the extra refinement modules, which complicates usage. It's also a code-heavy tool – not a ready-made app for non-coders. And no audio support.",VideoCrafter,
ByteDance,VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Seedance v1 Pro,Text-to-Video,Multi-shot narratives; 1080p 24-30 fps output; cinematic camera directions; first/last frame conditioning,"5-10 s clips at 1080p (24-30 fps; supports 16:9, 1:1, vertical)",Text prompts; image-to-video; start/end frame guides; multi-shot story prompts,Pro/Fast modes balance quality vs. turnaround (~30-90 s cloud renders),"Partner platforms (Scenario, CapCut, BytePlus) sell credit bundles; enterprise API pricing",Proprietary hosted service; strict content and moderation policies,Launched mid-2024; ByteDance ships Pro/Fast variants quarterly,Benchmark model for consistent multi-shot storytelling and prompt adherence,,Invite or partner gated; no open weights; exports tied to platform terms,seed.bytedance.com/seedance; scenario.com/seedance-models,
ByteDance,VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Seedance v1 Lite,Text-to-Video,Accessible Seedance tier with 720p outputs; same multi-shot storytelling but lighter compute,5-10 s clips at 720p (supports vertical and square),Text prompts; first/last frame; image-to-video loops,Runs on lower-priority queue for quicker drafts,Available inside CapCut/Seed apps with lower credit cost; partner bundles,Proprietary hosted service,Lite variant updated alongside Pro releases,Affordable way to sample Seedance cinematic controls,,Lower res and more artifacts vs. Pro; stricter prompt limits,seed.bytedance.com/seedance; lmarena.ai/leaderboard/text-to-video,
Meta,VIDEO_GEN,Open-Source,Open-Source,,Intermediate,"Production,Social Media",Emu Video,Text-to-Video; Image-to-Video,"A research model that generates video from text, images, or both. Can animate user-provided images. Uses a simple two-step diffusion process.","4s clips at 512x512 resolution, 16 FPS",Text prompts; Image prompts,State-of-the-art results with a simpler architecture than competitors. High user preference for quality and prompt faithfulness in research evaluations.,"Research model, not yet a publicly available product",Closed-source (research only),Announced late 2023; likely to be integrated into Meta products in the future,"A significant research milestone demonstrating efficient, high-quality factorized video generation.",,Not available for public use; capabilities are limited to short clips in a research context.,ai.meta.com/blog/emu-text-to-video-generation-image-editing-research/,
Lightricks,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",LTX-2,Text-to-Video (+Audio),Open-source 1080p generator; native synced audio; 4K 48 fps renders; consumer GPU friendly,Default 6 s 1080p drafts (4K up to 48 fps with longer renders),Text prompts; storyboard timelines; reference images; depth and pose guides; video-to-video,Draft videos in about 5 s on LTX Studio servers; longer renders scale linearly,Open-source weights (GitHub) free; LTX Studio SaaS tiers for HD and 4K exports,Open-source license (permissive) plus optional commercial SaaS service,Initial release Oct 2025 with iterative Studio feature drops,Fastest open model with built-in audio and cinematic controls,,Clip length limited to short scenes; high-res runs need strong GPUs; audio tools still maturing,techround.co.uk/ltx-2; siliconangle.com/lightricks-ltx-2,
Shengshu AI,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Vidu (U-ViT),Text-to-Video,Transformer diffusion enabling 16 s clips; multi-reference consistency; cinematic understanding; template workflows,Up to 16 s at 1080p (variable length),Text prompts; up to 7 reference images; first/last frame guides; sketch-to-video; image-to-video,High quality renders take 1-3 min depending on queue; off-peak relaxed mode available,Freemium web app (vidu.com) with paid fast credits; API access for studios,Proprietary platform (no public weights); commercial use allowed per terms,Research debut May 2024; frequent product feature updates through 2025,Brings long-form 16 s coherent video to the public with rich control options,,Slower than short-form generators; advanced features behind paywall; no self-hosting,arxiv.org/abs/2405.04233; vidu.com/features,
Alibaba,VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Wan 2.1,Text-to-Video; Image-to-Video,Diffusion Transformer open weights; bilingual (ZH/EN) prompts; top VBench scores; robust multi-object motion,5 s clips at 720p (14B) or 480p (1.3B),Text prompts; image-to-video animation models; negative prompts via toolkit,14B model needs high-end GPU; 1.3B runs 5 s 480p in about 4 min on laptop,Free open-source download (ModelScope/Hugging Face); Alibaba Cloud API for managed usage,Apache 2.0 license; commercial use permitted,v2.1 release Sept 2024 with tooling updates; community fine-tunes ongoing,Highest-quality open-source video model with bilingual support,,Heavy compute requirements for best quality; clip length capped at 5 s; docs primarily Chinese,alibabacloud.com/blog/video-generation; huggingface.co/tongyi-wan,
Alibaba,VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Wan 2.2 Animate 14B,Image/Video-to-Video,"Character animation/replacement with skeleton + expression control, relighting LoRA, and the Nov 2025 upgrade delivering sharper, cleaner visuals.",Generates 720p clips aligned to driver video length (typically 3–6 s),Reference image sets + driver video; supports character swap with environmental relighting; integrates into Wan Studio,"Post-upgrade inference is roughly 4× faster, so 720p swaps render in seconds on hosted queues.",Hosted providers now charge about $0.08 per second for 720p clips; self-host stays free under Apache 2.0.,Apache 2.0 open license,Launched Sept 19 2025 alongside Wan 2.2 updates,"Open, lighting-aware avatar toolkit that now balances cinematic quality with near real-time iteration.",,Still capped at 720p and needs clean driver footage plus serious VRAM for local runs.,humanaigc.github.io/wan-animate; github.com/Wan-Video/Wan2.2,
Alibaba,VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Wan 2.5,Text-to-Video (+Audio),10 s native 1080p24; seamless audio-video sync; bilingual prompts; instruction-based editing with reasoning,"5–10 s clips at 480p/720p/1080p (16:9, 9:16, 1:1)",Text prompts (≤800 chars); optional audio uploads; instruction-led refinement; multi-image workflows,Cloud-only generation with standard vs Fast queues; asynchronous delivery via Wan Create,Wan Create credits (≈38 for 5 s 480p up to ≈225 for 10 s 1080p); partner APIs like fal.ai bill $0.05–$0.15 per second,Closed-source SaaS; commercial use governed by Alibaba terms,Announced 2025 with continuous Wan Create feature drops,Flagship Alibaba model delivering 10 s 1080p video with native audio sync and reasoning,,Requires Alibaba account/region access; higher tiers costly; no self-hosted weights,wan.video; toolplay.ai/tools/wan-2.5-ai-video-generator,
MiniMax,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Hailuo 2.3 / 2.3 Fast,Text-to-Video; Image-to-Video,"Enhanced physics, stylization, micro-expressions; 15 camera-command syntax; Fast tier halves batch cost",Default 6 s at 1080p; API supports up to 10 s (1080p),Text prompts with camera macros; optional start/end frames; subject references; Director variants,Cloud queue rendering; Fast option prioritizes turnaround for volume generation,Same price as Hailuo 02 with 2.3 Fast up to 50% cheaper; daily free credits on Hailuo app; API billed per clip,Proprietary SaaS/API,Released Oct 28 2025 across app and platform,Best mix of camera control and lively human performance at mid-range pricing,,Chinese-first UX; closed weights; confined to ≤10 s clips,minimax.io/news/minimax-hailuo-23; platform.minimax.io/docs/api-reference/video-generation-t2v,
MiniMax,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Hailuo 02 Standard,Text-to-Video; Image-to-Video,Native 1080p 10s clips with strong physics and cinematic lighting; NCR architecture boosts efficiency,6–10 s clips at 768p–1080p (24–30 fps),Text or image prompts; camera macros; multilingual prompting,Standard queue (tens of seconds per clip online),"Approx. 75–150 credits per clip (e.g., 10 s 768p = 150 credits) per toolplay.ai",Proprietary SaaS/API,Model unveiled June 18 2025,Balanced cost/quality option beating many peers on physics realism,,Credit-based pricing varies by reseller; limited to short clips,minimax.io/news/minimax-hailuo-02; toolplay.ai/tools/minimax-hailuo-02-ai-image-to-video,
MiniMax,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Hailuo 02 Pro,Text-to-Video; Image-to-Video,"Premium 1080p tier with highest fidelity, better prompt adherence, and advanced camera control",6 s 1080p default (downloaded clip),Text/image prompts; optional last frame; prompt optimizer,API-powered (fal/third parties) with quick async turnaround,≈9.5 credits per second (6 s 1080p ≈ 57 credits) via kie.ai marketplace,Proprietary SaaS/API,Available via API distributors mid-2025,Delivers top-tier cinematic physics at sub-$0.05 per second pricing,,Still closed-model; requires credit purchases or enterprise deals,kie.ai/hailuo-api; dzine.ai/tools/hailuo-02-pro,
MiniMax,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Hailuo 02 Fast,Text-to-Video; Image-to-Video,Cost-optimized mode for quick drafts; trades some detail for speed while keeping motion coherence,6 s 512–768p outputs (optionally 1080p),Text prompts; image init; adjustable duration,Fast queue with lower wait times on Hailuo Video platform,Examples: 6 s 768p for 75 credits (toolplay); Freepik lists 35–165 credits by resolution,Proprietary SaaS,Rolled out with Hailuo 02 product launch June 2025,Great for bulk generation or animatics before upgrading to Pro,,Lower resolution and more artifacts vs. Pro/Standard; credit top-ups required,toolplay.ai/tools/minimax-hailuo-02-ai-image-to-video; support.freepik.com/s/article/AI-Video-Generator-Credits,
Microsoft,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",VASA-1,Image-to-Video; Audio-to-Video,"A research model that creates highly realistic talking-head videos from a single still image and an audio track. It generates accurate lip-sync, facial expressions, and natural head movements.",512x512 pixel videos at 40 FPS,"Single static headshot photo and an audio track; optional controls for emotion, gaze, and head pose.","Research model, not publicly available",Closed-source (research only),Paper published April 2024,"State-of-the-art photorealistic avatar generation from a single image, demonstrating the future of this technology.",Not released to the public due to ethical concerns and the potential for misuse.,,research.microsoft.com/en-us/projects/vasa/,,
Higgsfield,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",DoP I2V-01,Image-to-Video; Text-to-Video,50+ cinematic camera presets; Mix sequencing; style filters; speech-synced avatars,3–5 s MP4 clips at 720p,Preset library + text prompts; image upload; optional speech audio; Lite/Standard/Turbo modes,Cloud render with Turbo queue for faster turnaround; Lite/Standard process in seconds,Subscription credits per tier (Lite/Standard/Turbo); monthly credits expire if unused,Proprietary platform (web + mobile),Active 2025 with ongoing preset/library updates,Deep camera-motion control for social-length clips,,5 s duration cap; 720p ceiling; closed ecosystem with no open weights,thecreatorsai.com/p/higgsfield-ai-review-tutorial; higgsfield.ai/create-video,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3.1 Audio (Gemini API),Text-to-Video (+Audio); Image-to-Video,"Paid-preview upgrade with richer native audio, improved cinematic control, reference-image ""Ingredients"" and scene extension",Generates 2–10 s clips by default; scene extension chains to minute-long sequences at 1080p,Text prompts; up to 3 reference images; first/last frame transitions; Gemini Flow integrations,Cloud inference via Gemini API/Vertex AI; billed per-second,$0.20/s (video only) or $0.40/s (audio) via partners like fal.ai; enterprise pricing on Vertex AI,Proprietary (Gemini API paid preview),Released Oct 15 2025 with ongoing Gemini feature drops,Adds native audio + multi-reference controls to Google’s flagship video stack,,Paid preview access; higher cost vs Fast tier; subject to Google safety filters,developers.googleblog.com/en/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/; fal.ai/models/fal-ai/veo3.1,
Google,VIDEO_GEN,Native Model,Proprietary,,Enterprise,"Enterprise,Production",Veo 3.1 Fast Audio (Gemini API),Text-to-Video (+Audio); Image-to-Video,Lower-cost Veo 3.1 variant prioritizing turnaround; inherits audio-on option and reference controls,2–10 s clips (extendable via scene extension) at up to 1080p,Text prompts; reference images; first/last frame; same API as Veo 3.1,Faster queue through Gemini API and partners,$0.10/s (silent) or $0.15/s (audio) on fal.ai; billed pay-as-you-go,Proprietary (Gemini API paid preview),Launched alongside Veo 3.1 Oct 2025,Balances Veo 3.1 quality with half-price inference for iterative workflows,,Still preview-only; quality slightly below full Veo 3.1; capped clip durations,developers.googleblog.com/en/introducing-veo-3-1-and-new-creative-capabilities-in-the-gemini-api/; fal.ai/models/fal-ai/veo3.1/fast,
Kuaishou,VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Kling 2.1 Master,Text-to-Video; Image-to-Video,"Premium 1080p variant with advanced 3D camera motion, refined facial animation, multi-aspect support",5–10 s clips at 360p–1080p (looping via first/last frame),Text prompts; first-frame conditioning across tiers; Pro/Master support last-frame control; negative prompts,Cloud generation via Kling app/partners; faster than 2.0 while preserving fidelity,"Available through Kling platform & partners (Scenario, Higgsfield) with credit-based pricing",Proprietary (Kuaishou),Released May 2025 per Kling 2.1 lineup rollout,High-end cinematic output with strong prompt adherence and character consistency,,Access limited to authorized platforms; heavy GPU requirements for 1080p; still capped at 10 s,app.klingai.com/global/release-notes/2025-05-26; help.scenario.com/en/articles/kling-video-models-the-essentials,
Kuaishou,VIDEO_GEN,Native Model,Proprietary,REGIONAL,Intermediate,"Production,Social Media",Kling 2.1 Standard,Text-to-Video; Image-to-Video,"Mainline Kling 2.1 model with smooth motion, strong prompt obedience, and 720/1080p output",5–10 s clips at 720p or 1080p,Text prompts; first-frame conditioning; negative prompts; camera presets,Standard cloud queue on Kling/partner platforms,"Credit-based pricing via partners (e.g., Scenario, Higgsfield)",Proprietary (Kuaishou),Rolled out late May 2025 with 2.1 family,Reliable baseline for character animation without Master pricing,,Still closed-source; limited documentation in English; capped to short clips,help.scenario.com/en/articles/kling-video-models-the-essentials; app.klingai.com/global/release-notes/2025-05-26,
Midjourney,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Midjourney Video v1,Text-to-Video; Image-to-Video,"Community-wide V1 release with cinematic camera prompts, storyboard timelines, style references, and soundtrack placeholders","8 s clips at 1080p (supports 16:9, 9:16, 1:1); storyboard chaining can extend sequences",Text prompts; reference images; camera/motion tags; storyboard remix; per-frame adjustments via Describe/Blend,Typical render 30–90 s via Discord bot depending on queue,"Included in Midjourney subscriptions (Basic $10/mo, Standard $30/mo, Pro $60/mo); video counts against GPU minutes",Proprietary SaaS (Midjourney); commercial use per plan terms,V1 launched Jun 18 2025 with frequent iterative updates via changelog,High-style aesthetic tied to existing Midjourney ecosystem and shared storyboard workflow,,Discord-based workflow; clip length capped at 8 s; no native audio yet,updates.midjourney.com/introducing-our-v1-video-model/; techcrunch.com/2025/06/18/midjourney-launches-its-first-ai-video-generation-model-v1/,
Runway,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Enterprise,Production",Gen-2,Text-to-Video; Image-to-Video,"Second-generation video model with improved motion, better prompt adherence, image-to-video capabilities, and director mode controls","4-16 seconds clips, up to 1080p resolution",Text prompts; image init; motion controls; camera direction; director mode,~2-3 minutes for 4s clip on Runway cloud; priority queues for paid tiers,Free tier limited; Standard $12/mo (125 credits); Pro $28/mo (625 credits); Unlimited $76/mo; ~$0.05-0.10 per second,Proprietary SaaS; commercial use on paid plans; enterprise licensing available,Released June 2023; still available alongside Gen-3 and Gen-4 for specific use cases,Strong motion quality for its era; image-to-video was innovative; director mode pioneered camera controls,,Superseded by Gen-3/4; slower generation; shorter clips; less realistic than current models; maintained mainly for continuity,runwayml.com,
Pika Lab,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Social Media,Marketing",Pika 1.0,Text-to-Video; Image-to-Video,"Initial release with accessible text-to-video, web interface, creative effects, lip sync capabilities",3-4 seconds clips at 720p resolution,Text prompts; image inputs; aspect ratios; motion strength; negative prompts,~1-2 minutes per clip on Pika cloud queues,Free tier with daily quota; Standard $10/mo (700 credits); Pro $35/mo (2000 credits); ~$0.01 per second,Proprietary SaaS; commercial use on paid plans,Released November 2023; superseded by Pika 2.x but foundational,Made AI video accessible to masses; fun creative effects; pioneered affordable video generation,,Lower quality than 2024+ models; short clips only; occasional artifacts; stylized rather than photorealistic,pika.art,
Pika Lab,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Social Media,Marketing",Pika 1.5,Text-to-Video; Image-to-Video,"Intermediate upgrade with improved realism, better motion coherence, extended clip length, enhanced effects library",5 seconds clips at 720p-1080p resolution,Text prompts; image-to-video; inflate/deflate/melt/explode effects; aspect ratio controls; sound effects,~1-2 minutes per generation on cloud queues,"Same credit-based pricing as 2.x: Standard $10/mo (700 credits), Pro $35/mo (2000 credits)",Proprietary SaaS; commercial use on paid plans,Released early 2024 as bridge between 1.0 and 2.0,Improved quality over 1.0; creative effects popular for social media; longer clips enabled better storytelling,,Quickly superseded by 2.0+; still stylized vs photorealistic; effects sometimes gimmicky; short clips limited use cases,pika.art,
Haiper,VIDEO_GEN,Native Model,Proprietary,DISCONTINUED,Intermediate,"Production,Social Media",Haiper AI ⚠️ DISCONTINUED,Text-to-Video; Image-to-Video,"⚠️ PLATFORM DISCONTINUED (Feb 2025): Was an emerging fast video generator with strong motion quality, free tier, image animation, extend video, repaint features. Pivoted to enterprise services only.","2-4 seconds (free), up to 8 seconds (paid) at 720p [HISTORICAL]",Text prompts; image-to-video; extend clips; repaint (content modification); motion strength controls [HISTORICAL],Very fast: ~20-40 seconds for 4s clip on Haiper cloud [HISTORICAL],"Free tier (unlimited slow queue); Pro $10/mo (fast queue, longer clips, no watermark) [PLATFORM CLOSED - REFUNDS ISSUED]",Proprietary SaaS - DISCONTINUED Feb 2025; pivoted to enterprise B2B model; consumer platform shut down,Launched 2024 by DeepMind alumni; shut down consumer platform Feb 2025 to focus on enterprise services,Excellent motion quality; very fast generation; generous free tier; repaint feature unique for video editing [HISTORICAL VALUE ONLY],,DISCONTINUED: Platform shut down Feb 2025; website offline (404 errors); pivoted to enterprise-only B2B model; all consumer access ended; refunds issued to paid users,haiper.ai (offline); techcrunch.com/haiper-shutdown-2025,
Kaiber,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Kaiber AI,Text-to-Video; Audio-to-Video,"Creative-focused platform popular for music videos, audio-reactive animation, artistic transformations, Spotify Canvas creation",Up to 8 minutes per video (built from scenes); 1080p output,Text/image/video inputs; audio reactivity; motion controls; multiple artistic styles; storyboard tools; Spotify Canvas templates,~2-5 minutes per scene depending on length and quality tier,Explorer $5/mo (300 credits); Pro $10/mo (800 credits); Artist $25/mo (2500 credits); ~7 credits per second,Proprietary SaaS; commercial use allowed; retain full ownership of creations,Launched 2023; frequent style and feature updates; focused on creative/music community,Best for music videos and audio-reactive content; strong artistic styles; Spotify Canvas integration; vibrant creator community,,More stylized than photorealistic; learning curve for best results; credit system can be confusing; occasional consistency issues,kaiber.ai,
Imagine Art,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",ImagineArt Creative Suite,Text-to-Image; Text-to-Video; Image Editing,"Multi-modal platform with native ImagineArt 1.0 image model, aggregates Flux, Imagen 3, Kling, Hailuo; includes editing and video animation",Images up to 2048x2048; video up to 1080p clips (5-10s via Kling/Hailuo),Text prompts; ImagineArt 1.0 (native); Flux Dev; Imagen 3; video via Kling/Hailuo; image-to-video; background removal; canvas editor; upscaling,Image generation ~5-15 seconds; video ~1-3 minutes per clip depending on model,Free tier 150 credits weekly; Starter $7/mo (750 credits); Plus $14/mo (2000 credits); Premium $25/mo (4500 credits),Mixed licensing; native model proprietary; aggregated models follow original terms; commercial use on paid plans,Launched 2023; ImagineArt 1.0 native model added 2024; frequent model aggregation updates,Budget-friendly; combines image + video + editing in one platform; clean interface; good for beginners; weekly free credits,,Native model quality behind leaders; video features limited; confusing which model you're using; credit depletion fast with video,imagine.art,
FLORA,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",FLORA (FloraFauna.ai),Image & Video Platform Aggregator,"Professional AI platform aggregating multiple video/image models (Sora 2, Veo 3.1, Kling Pro, etc.) with workflow automation, character/background swaps, garment try-ons, UGC creation with voiceover and music from single image + prompt","Depends on selected model (Sora 2: up to 20s, Veo 3.1: 8s, etc.); 1080p-4K output",Single-image prompting; multi-model selection; workflow blueprints; character/background swap; garment try-on; voiceover + music integration,Model-dependent: varies from 30s to 5+ minutes per generation depending on selected backend,Free tier available; pricing varies by model selection; commercial shoots tier; enterprise workflows custom pricing,Proprietary platform; aggregates multiple licensed models; commercial use rights depend on selected model,"Launched 2024; frequent model additions (Sora 2, Veo 3.1, Kling); focus on professional/commercial workflows",Professional workflow automation; codified creative process; multi-model flexibility; built-in voiceover/music; commercial-ready outputs,,Pricing complexity across models; learning curve for workflow blueprints; quality dependent on backend model selection,florafauna.ai,
Figma,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Figma Weave (formerly Weavy),Image & Video Platform Aggregator (Node-Based),Node-based AI creative platform acquired by Figma (Oct 2025 for ~$200M+); integrates multiple AI models and editing tools in open canvas; professional-grade workflows for design,Depends on node configuration and selected models; scalable workflows,Node-based workflow editor; multiple AI model integration; professional editing tools; generative AI + traditional tools in one canvas,Varies by workflow complexity and models used,Originally standalone pricing; now integrating into Figma pricing structure (details TBA post-acquisition),Proprietary - acquired by Figma Oct 2025; integration into Figma platform ongoing; license terms evolving,"Founded as Weavy; acquired by Figma Oct 30, 2025 for $200M+; being integrated as ""Figma Weave""; major platform transition underway",Node-based flexibility; professional-grade tools; Figma integration coming; combines AI models with traditional editing; design-focused workflows,,Major acquisition transition uncertainty; standalone product future unclear; pricing/access model changing; may lose features during Figma integration,weavy.ai (redirecting to Figma); techcrunch.com/figma-weavy-acquisition,
Morphic,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Morphic Studio,Image & Video Generation (Canvas-Based),"AI-driven controlled video creation platform with collaborative canvas; text-to-image, text-to-video, image-to-video, video style transfer; automates tedious tasks in creative workflow",Variable duration and resolution based on selected tools; canvas-based generation,Collaborative canvas; text/image/video inputs; style transfer; sketch-to-scene; single prompt creation; multi-modal generation,Depends on generation type and complexity; generally 1-3 minutes per asset,Free tier available; Creator and Pro tiers with credit-based pricing; typical range $10-30/mo,Proprietary SaaS; commercial use on paid plans; outputs owned by user,Launched 2024; rapid feature additions focused on controlled video creation and creative workflow enhancement,Canvas-based collaborative editing; strong control over video creation; combines multiple input types; automates tedious workflow tasks,,Newer platform with smaller community; learning curve for canvas interface; some features still in development,morphic.com; morphstudio.com,
Scenario,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",Scenario.com,"Image, Video & 3D Asset Generation","AI-powered content generation platform specialized for gaming, media, and marketing; train custom models, generate high-resolution images/videos/3D assets, production-ready tools",High-resolution images; video capabilities; 3D asset generation; scalable for production,Custom model training; prompt/reference controls; brand consistency tools; batch generation; API access; multi-format outputs,Fast generation for images; video/3D asset generation varies; optimized for production scale,Free tier available; Pro plans from $20-50/mo; Enterprise custom; API pay-per-use pricing,Proprietary SaaS/API; commercial use included; custom model training; outputs owned by user; some controversy over training data sources,Founded for game development use cases; expanded to media and marketing; continuous model improvements and custom training capabilities,Custom model training for brand consistency; production-ready outputs; gaming/media focus; high-resolution quality; API access,,Training data sourcing controversies (copyright/trademark concerns noted by community); higher pricing for commercial scale; learning curve for custom models,scenario.com,
VEED,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",veed.io,Video Editing Platform with AI Video Generation,"Online video editor with built-in AI video generation (text-to-video, AI avatars, auto-subtitles, voice translation); drag-and-drop interface; realistic avatars and voiceovers",Variable duration; 1080p-4K output; AI-generated videos + traditional editing,Text-to-video AI; AI avatars; auto-subtitle generation; voice translation; drag-and-drop editor; animations/graphics; social media templates,Fast: AI generation ~30-60s; editing real-time; avatar videos ~1-2 minutes,Free tier with watermark; Basic $12/mo; Pro $24/mo; Business $59/mo; Enterprise custom,Proprietary SaaS; commercial use on paid plans; outputs owned by user,"Long-standing video editor (pre-AI); added AI features 2023-2025; frequent feature updates with AI generation, avatars, translations",All-in-one platform: AI generation + traditional editing; user-friendly interface; strong auto-subtitle/translation; social media optimization,,AI generation quality not as advanced as specialized tools; watermark on free tier; subscription required for serious use; avatars less realistic than dedicated platforms,veed.io,
Pixverse,VIDEO_GEN,Native Model,Proprietary,,Intermediate,"Production,Social Media",PixVerse V5,Text-to-Video; Image-to-Video,"Free AI video generation platform with V5 model (Aug 2025); text/image/video-to-video, trending effects (AI Kiss, Hug, etc.), multi-image merge, mobile app, viral content creation",Up to 5-minute videos; 1080p output; multi-scene narratives,Text/image/video inputs; trending effect templates; multi-image merge (up to 3 images); mobile app (iOS/Android); narrative-driven scenes,Fast generation: typically 5 minutes or less per video; mobile app optimized for quick creation,Free with generous limits; Pro tier for faster generation and higher quality; mobile app free with in-app upgrades,Proprietary SaaS; commercial use allowed; mobile app available; outputs owned by user,"Launched 2024; V5 model released August 27, 2025; rapid growth focused on viral/social content and mobile-first generation",Completely free for most use cases; mobile app available; trending effects for viral content; multi-image narrative merge; fast generation,,Quality may not match premium platforms; effects can be gimmicky; newer platform with limited advanced controls; community smaller than established competitors,pixverse.ai,
